City,AQI,PM2.5/h,PM10/h,CO/h,NO2/h,O3/h,O3/8h,SO2/h
汕头,36,11,18,0.57,17,56,70,7
汕尾,37,11,33,0.5,6,54,72,6
韶关,39,24,38,0.92,19,20,60,5
绍兴,65,33,77,0.66,31,65,90,7
邵阳,40,28,35,0.53,18,30,54,14
沈阳,36,18,35,0.48,39,22,54,5
深圳,39,18,38,0.62,26,41,39,5
石河子,57,15,41,0.6,36,77,107,11
石家庄,74,31,95,0.65,35,114,109,10
十堰,52,22,51,0.58,14,52,80,5
石嘴山,90,61,127,2.65,54,41,77,46
寿光,95,34,76,0.5,23,102,152,14
双鸭山,54,30,55,0.65,12,49,52,14
朔州,70,28,87,0.53,50,32,97,10
四平,49,22,48,0.34,54,13,55,6
松原,40,6,18,0.45,32,40,78,3
绥化,32,13,25,0.25,21,44,62,4
遂宁,52,29,52,0.42,29,47,73,9
随州,45,21,44,0.7,27,23,72,8
宿迁,72,48,91,0.7,29,114,124,7
苏州,71,34,52,0.58,31,80,124,5
宿州,65,45,77,0.68,36,79,101,8
塔城地区,52,5,51,0.1,15,69,69,4
泰安,150,25,67,0.58,18,172,214,11
太仓,75,42,66,0.8,22,115,128,13
太原,61,29,62,0.68,26,106,111,11
台州,31,10,22,0.4,14,58,61,2
泰州,94,30,52,0.52,17,95,151,4
唐山,64,40,76,1.44,42,44,70,20
天津,96,71,84,1.39,42,69,93,13
天水,58,35,63,0.87,30,44,63,11
铁岭,28,10,26,0.38,27,28,55,2
铜川,64,32,75,0.63,53,48,96,16
通化,27,9,26,0.3,9,48,51,11
通辽,50,26,49,0.4,21,56,59,9
铜陵,61,20,45,0.53,35,89,111,6
铜仁地区,35,12,34,0.3,28,1,26,3
吐鲁番地区,64,29,75,0.6,27,80,103,5
瓦房店,83,54,113,2.2,51,17,0,21
潍坊,93,37,96,0.67,43,126,150,12
威海,86,36,53,0.66,9,140,142,4
渭南,57,26,55,0.72,40,70,107,20
文登,60,20,35,0.4,10,86,110,4
文山州,35,14,26,0.4,9,58,69,5
温州,39,9,19,0.36,27,70,76,3
乌海,75,27,98,0.68,91,19,111,14
武汉,59,35,65,0.75,47,33,68,5
芜湖,68,33,55,0.7,46,89,120,7
吴江,89,34,52,0.75,22,69,145,7
五家渠,50,14,29,0.35,23,63,98,6
乌兰察布,40,10,26,0.2,27,44,79,16
乌鲁木齐,46,17,42,0.58,48,55,91,6
武威,89,66,124,1.18,39,37,60,8
无锡,81,26,58,0.66,49,61,136,8
吴忠,71,25,46,0.7,61,35,123,16
梧州,52,30,52,0.7,10,62,65,9
厦门,31,10,15,0.39,15,52,60,3
西安,68,36,83,0.72,69,32,106,6
湘潭,49,27,48,0.84,34,36,83,6
湘西州,37,20,36,0.6,14,10,30,5
襄阳,54,37,49,0.77,25,65,101,7
咸宁,55,38,53,0.8,11,60,84,6
咸阳,66,46,79,0.89,72,22,84,10
孝感,53,29,53,1.05,7,63,76,5
锡林郭勒盟,37,2,8,0.1,6,57,73,9
兴安盟,39,27,37,0.5,35,11,55,3
邢台,91,25,72,0.88,48,101,148,15
西宁,61,35,70,1.22,31,59,87,12
新乡,133,23,66,0.5,28,125,195,8
信阳,61,23,50,0.73,43,21,112,6
新余,36,21,35,0.7,21,53,60,16
忻州,125,94,124,1.6,53,39,63,41
雄安新区,133,30,103,0.55,27,121,195,14
西双版纳州,47,18,46,0.35,12,24,38,3
西咸新区,64,31,76,0.57,69,27,94,7
宣城,82,29,50,0.4,37,91,137,5
许昌,116,24,46,0.68,20,155,176,6
徐州,112,40,72,0.79,23,144,172,9
雅安,45,31,38,0.46,15,71,81,9
延安,52,30,51,1.34,39,72,82,9
延边朝鲜族自治州,22,7,11,0.4,6,40,43,7
延边州,36,6,17,0.33,4,70,70,7
盐城,89,22,38,0.56,12,116,145,6
阳江,35,17,29,0.57,7,63,68,6
阳泉,54,28,56,0.67,59,41,84,17
扬州,80,37,71,0.61,37,79,134,10
烟台,80,51,85,0.68,21,122,134,12
宜宾,71,51,82,0.83,57,20,66,8
宜昌,57,30,61,0.57,33,28,65,6
宜春,47,31,46,0.66,12,57,52,7
伊春,26,13,25,0.43,9,26,40,6
伊犁哈萨克,0,0,0,0.0,0,0,0,0
伊犁哈萨克州,52,19,51,0.87,54,41,94,9
银川,52,21,51,0.71,45,43,82,22
营口,81,59,76,1.36,58,37,57,15
鹰潭,25,12,20,0.73,15,40,48,32
义乌,46,25,45,0.6,45,8,23,5
宜兴,106,23,39,0.65,55,75,165,18
益阳,44,22,43,0.98,30,58,83,4
